snow_type_dry,snow_type_unknown,snow_type_wet,trigger_type_explosive,trigger_type_natural,trigger_type_unknown,max_elevation,min_elevation,aspect_degrees,length,width,perimeter,area,aval_size_class,weight_AAI,risk_index
1,0,0,0,0,0,2264.0,1940.0,39.0,409.0,55.0,860.0,9837.0,3,3,2
0,1,0,0,1,0,2525.0,2379.0,76.0,191.0,91.0,530.0,11370.0,2,2,2
1,0,0,0,0,0,2714.0,2534.0,51.0,291.0,136.0,1078.0,19580.0,2,2,2
1,0,0,0,0,0,2421.0,2386.0,245.0,54.0,12.0,118.0,444.0,2,2,1
1,0,0,0,0,0,2724.0,2422.0,310.0,499.0,69.0,1050.0,23957.0,3,3,1
1,0,0,0,0,0,1890.0,1790.0,231.0,180.0,52.0,419.0,5036.0,2,2,1
0,1,0,0,0,1,2443.0,1846.0,88.0,1086.0,102.0,2299.0,39481.0,4,4,0
1,0,0,0,1,0,2559.0,2424.0,53.0,164.0,196.0,611.0,23190.0,2,2,0
0,1,0,0,1,0,2337.0,2227.0,11.0,189.0,45.0,424.0,6364.0,2,2,0
1,0,0,0,1,0,2505.0,2406.0,248.0,160.0,33.0,352.0,3589.0,2,2,0
1,0,0,0,1,0,2173.0,2086.0,65.0,111.0,26.0,237.0,2082.0,2,2,0
1,0,0,0,1,0,2735.0,2625.0,268.0,145.0,28.0,322.0,3201.0,2,2,0
1,0,0,0,1,0,2716.0,2615.0,269.0,140.0,46.0,333.0,4956.0,2,2,0
0,1,0,0,1,0,2499.0,2374.0,30.0,191.0,28.0,403.0,3620.0,2,2,0
1,0,0,0,0,0,2682.0,2642.0,286.0,55.0,11.0,118.0,470.0,2,2,0
1,0,0,0,1,0,2448.0,2339.0,35.0,152.0,51.0,338.0,4623.0,2,2,0
0,1,0,0,0,0,2317.0,2282.0,131.0,65.0,24.0,153.0,1227.0,2,2,0
0,1,0,0,1,0,2612.0,2478.0,52.0,190.0,112.0,567.0,14208.0,2,2,0
1,0,0,0,1,0,2501.0,2422.0,63.0,111.0,45.0,271.0,3662.0,2,2,0
0,1,0,0,1,0,2122.0,2013.0,343.0,191.0,67.0,432.0,9520.0,2,2,0
1,0,0,0,1,0,2085.0,1990.0,44.0,141.0,21.0,302.0,2587.0,2,2,0
1,0,0,0,1,0,2322.0,2258.0,71.0,145.0,61.0,349.0,5472.0,2,2,0
1,0,0,0,1,0,2109.0,2039.0,91.0,124.0,156.0,446.0,14201.0,2,2,0
1,0,0,0,1,0,2174.0,2110.0,326.0,96.0,23.0,213.0,1511.0,2,2,2
1,0,0,0,0,0,2282.0,2231.0,120.0,57.0,204.0,479.0,8150.0,2,2,2
1,0,0,0,0,0,2948.0,2797.0,258.0,264.0,172.0,725.0,26378.0,2,2,2
1,0,0,0,1,0,2742.0,2685.0,110.0,101.0,35.0,241.0,2854.0,2,2,2
1,0,0,0,1,0,2308.0,2272.0,58.0,68.0,28.0,162.0,1256.0,2,2,0
0,1,0,0,1,0,2429.0,2264.0,34.0,191.0,28.0,399.0,2800.0,2,2,0
1,0,0,0,1,0,2234.0,2090.0,38.0,163.0,16.0,336.0,1623.0,2,2,0
0,1,0,0,1,0,2178.0,2035.0,42.0,190.0,33.0,423.0,4048.0,2,2,0
1,0,0,0,1,0,2491.0,2392.0,179.0,163.0,47.0,363.0,5959.0,2,2,0
1,0,0,0,1,0,2636.0,2552.0,98.0,162.0,57.0,383.0,5684.0,2,2,0
0,1,0,0,1,0,2453.0,2361.0,45.0,190.0,96.0,487.0,12915.0,2,2,0
0,1,0,0,1,0,2537.0,2407.0,223.0,188.0,80.0,465.0,11925.0,2,2,0
0,1,0,0,1,0,2476.0,2372.0,46.0,190.0,101.0,493.0,15438.0,2,2,0
0,1,0,0,1,0,2089.0,1968.0,109.0,190.0,96.0,572.0,10321.0,2,2,0
